transaction_id,customer_id,transaction_date,transaction_type,amount,transaction_status,channel,country,fraud_flag
1,1102,2023-01-01 00:00:00,DEBIT,35257,SUCCESS,CARD,UK,0
2,1435,2023-01-01 01:00:00,CREDIT,20037,SUCCESS,CARD,UK,0
3,1860,2023-01-01 02:00:00,DEBIT,54390,SUCCESS,NETBANKING,USA,0
4,1270,2023-01-01 03:00:00,CREDIT,46807,SUCCESS,UPI,India,0
5,1106,2023-01-01 04:00:00,DEBIT,11319,SUCCESS,NETBANKING,USA,0
6,1071,2023-01-01 05:00:00,CREDIT,9499,SUCCESS,CARD,UAE,0
7,1700,2023-01-01 06:00:00,DEBIT,98948,SUCCESS,UPI,Singapore,0
8,1020,2023-01-01 07:00:00,DEBIT,27757,SUCCESS,NETBANKING,UK,1
9,1614,2023-01-01 08:00:00,DEBIT,20147,FAILED,CARD,USA,0
10,1121,2023-01-01 09:00:00,CREDIT,76195,SUCCESS,UPI,Singapore,0
11,1466,2023-01-01 10:00:00,DEBIT,85793,SUCCESS,UPI,Singapore,0
12,1214,2023-01-01 11:00:00,CREDIT,72254,FAILED,CARD,India,0
13,1330,2023-01-01 12:00:00,DEBIT,44991,SUCCESS,UPI,UK,0
14,1458,2023-01-01 13:00:00,DEBIT,6880,SUCCESS,UPI,Singapore,0
15,1087,2023-01-01 14:00:00,CREDIT,27150,SUCCESS,NETBANKING,UK,0
16,1372,2023-01-01 15:00:00,DEBIT,73651,SUCCESS,UPI,USA,0
17,1099,2023-01-01 16:00:00,DEBIT,68766,SUCCESS,NETBANKING,Singapore,0
18,1871,2023-01-01 17:00:00,CREDIT,93719,SUCCESS,NETBANKING,Singapore,0
19,1663,2023-01-01 18:00:00,DEBIT,82116,SUCCESS,NETBANKING,USA,0
20,1130,2023-01-01 19:00:00,CREDIT,53110,SUCCESS,NETBANKING,UK,0
21,1661,2023-01-01 20:00:00,DEBIT,38265,SUCCESS,UPI,UK,0
22,1308,2023-01-01 21:00:00,DEBIT,11628,SUCCESS,UPI,Singapore,0
23,1769,2023-01-01 22:00:00,DEBIT,49708,SUCCESS,NETBANKING,USA,0
24,1343,2023-01-01 23:00:00,DEBIT,6014,SUCCESS,UPI,UAE,0
25,1491,2023-01-02 00:00:00,DEBIT,37236,SUCCESS,NETBANKING,UK,0
26,1413,2023-01-02 01:00:00,CREDIT,11279,SUCCESS,NETBANKING,UAE,0
27,1805,2023-01-02 02:00:00,DEBIT,86108,SUCCESS,NETBANKING,Singapore,0
28,1385,2023-01-02 03:00:00,CREDIT,12176,FAILED,CARD,UAE,0
29,1191,2023-01-02 04:00:00,DEBIT,24883,SUCCESS,UPI,UAE,0
30,1955,2023-01-02 05:00:00,CREDIT,46816,SUCCESS,UPI,UK,0
31,1276,2023-01-02 06:00:00,CREDIT,50398,SUCCESS,NETBANKING,Singapore,0
32,1160,2023-01-02 07:00:00,DEBIT,54404,SUCCESS,UPI,UAE,0
33,1459,2023-01-02 08:00:00,CREDIT,79460,SUCCESS,NETBANKING,UK,0
34,1313,2023-01-02 09:00:00,DEBIT,69935,SUCCESS,UPI,UAE,0
35,1021,2023-01-02 10:00:00,CREDIT,8218,SUCCESS,NETBANKING,UK,0
36,1252,2023-01-02 11:00:00,CREDIT,76392,SUCCESS,NETBANKING,Singapore,0
37,1747,2023-01-02 12:00:00,DEBIT,57011,SUCCESS,CARD,USA,0
38,1856,2023-01-02 13:00:00,CREDIT,73589,SUCCESS,NETBANKING,UK,0
39,1560,2023-01-02 14:00:00,CREDIT,15285,SUCCESS,CARD,UK,0
40,1474,2023-01-02 15:00:00,DEBIT,41892,SUCCESS,UPI,UAE,0
41,1058,2023-01-02 16:00:00,CREDIT,80310,SUCCESS,UPI,Singapore,0
42,1510,2023-01-02 17:00:00,DEBIT,50713,SUCCESS,CARD,India,0
43,1681,2023-01-02 18:00:00,CREDIT,34027,SUCCESS,UPI,India,0
44,1475,2023-01-02 19:00:00,CREDIT,486,SUCCESS,CARD,USA,1
45,1699,2023-01-02 20:00:00,DEBIT,92253,SUCCESS,UPI,Singapore,0
46,1975,2023-01-02 21:00:00,CREDIT,72828,SUCCESS,CARD,UK,0
47,1782,2023-01-02 22:00:00,CREDIT,76381,SUCCESS,CARD,India,0
48,1189,2023-01-02 23:00:00,CREDIT,30120,SUCCESS,NETBANKING,USA,0
49,1957,2023-01-03 00:00:00,CREDIT,42778,SUCCESS,UPI,Singapore,0
50,1686,2023-01-03 01:00:00,DEBIT,86795,SUCCESS,NETBANKING,USA,0
51,1957,2023-01-03 02:00:00,CREDIT,61494,FAILED,CARD,India,0
52,1562,2023-01-03 03:00:00,DEBIT,69045,FAILED,NETBANKING,UAE,0
53,1875,2023-01-03 04:00:00,DEBIT,56514,SUCCESS,CARD,UAE,0
54,1566,2023-01-03 05:00:00,CREDIT,54916,SUCCESS,UPI,Singapore,0
55,1243,2023-01-03 06:00:00,DEBIT,56018,SUCCESS,UPI,USA,0
56,1831,2023-01-03 07:00:00,CREDIT,91381,SUCCESS,UPI,UK,0
57,1504,2023-01-03 08:00:00,DEBIT,62794,SUCCESS,CARD,India,0
58,1130,2023-01-03 09:00:00,CREDIT,29555,FAILED,NETBANKING,UAE,0
59,1484,2023-01-03 10:00:00,DEBIT,38835,SUCCESS,UPI,UAE,0
60,1818,2023-01-03 11:00:00,DEBIT,94802,SUCCESS,CARD,USA,1
61,1646,2023-01-03 12:00:00,CREDIT,93708,SUCCESS,NETBANKING,UAE,0
62,1020,2023-01-03 13:00:00,DEBIT,12209,SUCCESS,CARD,USA,0
